AI Governance Dashboard - Metrics Report
Generated: 2026-04-07T16:33:50.093Z

GOVERNANCE DECISION
Decision,FAIL
Pass,4
Warning,1
Fail,3

METRIC CHECKS
Metric,Value,Threshold,Status,Details
"FNR Disparity","0.0%","≤8%",pass,"Worst: 15-18|Female|Rural|3|Yes (0.0%) vs 15-18|Female|Rural|3|Yes (0.0%)"
"PPV Disparity","16.7%","≤12%",fail,""
"Min Recall","0.0%","≥85%",fail,"Lowest: 15-18|Female|Rural|3|Yes"
"Calibration ECE","0.100","<0.10",fail,""
"PSI Max (prior_hospitalizations_12mo)","0.009","<0.1",pass,""
"Prediction Drift (KS)","0.022","<0.1",pass,""
"Target Drift","0.35%","<5%",pass,""
"Subgroup n≥50","n=1","≥50",warning,"Smallest: 15-18|Female|Rural|3|Yes"

OVERALL PERFORMANCE
Recall,100.00%
Precision (PPV),99.57%
FNR,0.00%
Accuracy,99.99%
F1,99.78%
ECE,0.1000
Brier Score,0.0154
N,7503

SUBGROUP METRICS: care_setting
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
SUBGROUP METRICS: rural_urban
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"Urban",6125,100.00%,100.00%,0.00%,0.00%,0.0996,2.99%
"Rural",1378,100.00%,97.96%,0.00%,0.08%,0.1020,3.48%

SUBGROUP METRICS: socioeconomic_quintile
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"1",2035,100.00%,98.77%,0.00%,0.05%,0.1020,3.93%
"3",1585,100.00%,100.00%,0.00%,0.00%,0.0969,2.15%
"2",1553,100.00%,100.00%,0.00%,0.00%,0.1037,3.73%
"4",1348,100.00%,100.00%,0.00%,0.00%,0.0975,2.60%
"5",982,100.00%,100.00%,0.00%,0.00%,0.0985,2.44%

SUBGROUP METRICS: race_ethnicity_group
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"White",4081,100.00%,99.15%,0.00%,0.03%,0.0994,2.87%
"East/Southeast Asian",839,100.00%,100.00%,0.00%,0.00%,0.1006,3.34%
"South Asian",755,100.00%,100.00%,0.00%,0.00%,0.1009,3.18%
"Indigenous",492,100.00%,100.00%,0.00%,0.00%,0.1050,3.46%
"Black",391,100.00%,100.00%,0.00%,0.00%,0.0994,4.35%
"Middle Eastern",383,100.00%,100.00%,0.00%,0.00%,0.0958,2.35%
"Other/Unknown",366,100.00%,100.00%,0.00%,0.00%,0.1028,4.10%
"Latino",196,100.00%,100.00%,0.00%,0.00%,0.0977,2.04%

SUBGROUP METRICS: indigenous_identity
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"No",6908,100.00%,99.53%,0.00%,0.01%,0.0996,3.04%
"Yes",595,100.00%,100.00%,0.00%,0.00%,0.1052,3.53%

SUBGROUP METRICS: newcomer_status
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"No",6728,100.00%,99.53%,0.00%,0.02%,0.1001,3.17%
"Yes",775,100.00%,100.00%,0.00%,0.00%,0.0994,2.32%

SUBGROUP METRICS: disability_flag
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"No",7100,100.00%,99.54%,0.00%,0.01%,0.1001,3.07%
"Yes",403,100.00%,100.00%,0.00%,0.00%,0.0980,3.23%

SUBGROUP METRICS: age_band
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"14-Oct",3049,100.00%,98.88%,0.00%,0.03%,0.1024,2.89%
"09-May",2371,100.00%,100.00%,0.00%,0.00%,0.0983,3.80%
"15-18",1387,100.00%,100.00%,0.00%,0.00%,0.0980,2.24%
"0-4",696,100.00%,100.00%,0.00%,0.00%,0.0992,3.16%

SUBGROUP METRICS: intersectional_group_id
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"10-14|Male|Urban|3|No",272,100.00%,100.00%,0.00%,0.00%,0.1020,1.10%
"10-14|Male|Urban|1|No",271,100.00%,100.00%,0.00%,0.00%,0.1074,4.06%
"10-14|Male|Urban|2|No",235,100.00%,100.00%,0.00%,0.00%,0.0951,1.28%
"10-14|Female|Urban|4|No",231,100.00%,100.00%,0.00%,0.00%,0.1015,5.19%
"10-14|Female|Urban|3|No",225,100.00%,100.00%,0.00%,0.00%,0.0984,3.11%
"10-14|Male|Urban|4|No",218,100.00%,100.00%,0.00%,0.00%,0.1033,2.29%
"10-14|Female|Urban|2|No",211,100.00%,100.00%,0.00%,0.00%,0.1012,3.32%
"10-14|Female|Urban|1|No",209,100.00%,100.00%,0.00%,0.00%,0.1019,3.35%
"5-9|Female|Urban|1|No",206,100.00%,100.00%,0.00%,0.00%,0.0961,6.31%
"5-9|Male|Urban|1|No",195,100.00%,100.00%,0.00%,0.00%,0.1004,2.56%
"5-9|Female|Urban|2|No",194,100.00%,100.00%,0.00%,0.00%,0.1043,4.12%
"10-14|Female|Urban|5|No",194,100.00%,100.00%,0.00%,0.00%,0.1077,1.55%
"5-9|Female|Urban|3|No",189,100.00%,100.00%,0.00%,0.00%,0.0971,3.17%
"5-9|Male|Urban|3|No",186,100.00%,100.00%,0.00%,0.00%,0.0929,2.69%
"5-9|Male|Urban|5|No",184,100.00%,100.00%,0.00%,0.00%,0.0957,3.80%
"5-9|Male|Urban|4|No",167,100.00%,100.00%,0.00%,0.00%,0.0919,1.80%
"5-9|Female|Urban|4|No",164,100.00%,100.00%,0.00%,0.00%,0.0971,1.83%
"10-14|Male|Urban|5|No",161,100.00%,100.00%,0.00%,0.00%,0.0974,3.73%
"5-9|Male|Urban|2|No",150,100.00%,100.00%,0.00%,0.00%,0.0988,6.00%
"15-18|Male|Urban|1|No",136,100.00%,100.00%,0.00%,0.00%,0.0943,4.41%
"15-18|Male|Urban|3|No",135,100.00%,100.00%,0.00%,0.00%,0.0969,0.74%
"10-14|Male|Rural|1|No",134,100.00%,83.33%,0.00%,0.78%,0.1081,3.73%
"5-9|Female|Urban|5|No",125,100.00%,100.00%,0.00%,0.00%,0.0938,1.60%
"15-18|Male|Urban|2|No",125,100.00%,100.00%,0.00%,0.00%,0.1071,2.40%
"15-18|Female|Urban|4|No",115,100.00%,100.00%,0.00%,0.00%,0.0853,0.87%
"15-18|Female|Urban|3|No",114,100.00%,100.00%,0.00%,0.00%,0.0930,2.63%
"10-14|Female|Rural|1|No",111,100.00%,100.00%,0.00%,0.00%,0.1006,1.80%
"15-18|Female|Urban|1|No",104,100.00%,100.00%,0.00%,0.00%,0.1081,2.88%
"5-9|Male|Rural|1|No",99,100.00%,100.00%,0.00%,0.00%,0.1027,8.08%
"5-9|Female|Rural|1|No",95,100.00%,100.00%,0.00%,0.00%,0.1017,5.26%
"15-18|Female|Urban|2|No",91,100.00%,100.00%,0.00%,0.00%,0.1025,2.20%
"15-18|Male|Urban|4|No",82,100.00%,100.00%,0.00%,0.00%,0.1019,2.44%
"10-14|Male|Rural|2|No",79,100.00%,100.00%,0.00%,0.00%,0.1167,5.06%
"15-18|Female|Urban|5|No",73,0.00%,0.00%,0.00%,0.00%,0.0803,0.00%
"0-4|Female|Urban|2|No",65,100.00%,100.00%,0.00%,0.00%,0.1095,4.62%
"0-4|Male|Urban|1|No",64,100.00%,100.00%,0.00%,0.00%,0.1091,4.69%
"0-4|Female|Urban|1|No",62,0.00%,0.00%,0.00%,0.00%,0.0797,0.00%
"0-4|Male|Urban|2|No",60,100.00%,100.00%,0.00%,0.00%,0.0990,5.00%
"10-14|Male|Rural|3|No",58,100.00%,100.00%,0.00%,0.00%,0.0971,1.72%
"0-4|Male|Urban|3|No",55,100.00%,100.00%,0.00%,0.00%,0.0925,1.82%
"15-18|Female|Rural|1|No",53,100.00%,100.00%,0.00%,0.00%,0.0882,1.89%
"10-14|Male|Rural|4|No",53,100.00%,100.00%,0.00%,0.00%,0.0951,1.89%
"15-18|Male|Urban|5|No",51,100.00%,100.00%,0.00%,0.00%,0.1043,1.96%
"15-18|Male|Rural|1|No",51,100.00%,100.00%,0.00%,0.00%,0.1093,1.96%
"10-14|Female|Rural|3|No",50,0.00%,0.00%,0.00%,0.00%,0.0933,0.00%
"0-4|Male|Urban|4|No",49,100.00%,100.00%,0.00%,0.00%,0.0909,4.08%
"5-9|Male|Rural|2|No",47,100.00%,100.00%,0.00%,0.00%,0.1002,6.38%
"0-4|Female|Urban|5|No",47,100.00%,100.00%,0.00%,0.00%,0.1031,2.13%
"0-4|Female|Urban|4|No",47,100.00%,100.00%,0.00%,0.00%,0.1000,2.13%
"10-14|Female|Rural|2|No",47,100.00%,100.00%,0.00%,0.00%,0.1049,2.13%
"0-4|Male|Urban|5|No",42,100.00%,100.00%,0.00%,0.00%,0.0917,4.76%
"5-9|Male|Rural|3|No",34,100.00%,100.00%,0.00%,0.00%,0.1093,5.88%
"0-4|Female|Urban|3|No",34,0.00%,0.00%,0.00%,0.00%,0.0993,0.00%
"10-14|Male|Urban|3|Yes",33,100.00%,100.00%,0.00%,0.00%,0.0893,3.03%
"10-14|Male|Urban|2|Yes",32,100.00%,100.00%,0.00%,0.00%,0.1210,6.25%
"5-9|Male|Urban|2|Yes",32,100.00%,100.00%,0.00%,0.00%,0.1020,3.13%
"5-9|Female|Rural|2|No",30,100.00%,100.00%,0.00%,0.00%,0.1032,6.67%
"10-14|Female|Rural|4|No",28,100.00%,100.00%,0.00%,0.00%,0.1105,3.57%
"15-18|Male|Rural|2|No",27,100.00%,100.00%,0.00%,0.00%,0.1153,3.70%
"15-18|Female|Rural|4|No",27,0.00%,0.00%,0.00%,0.00%,0.0956,0.00%
"5-9|Female|Urban|1|Yes",25,100.00%,100.00%,0.00%,0.00%,0.1288,12.00%
"0-4|Male|Rural|1|No",24,100.00%,100.00%,0.00%,0.00%,0.0936,4.17%
"15-18|Female|Rural|2|No",24,100.00%,100.00%,0.00%,0.00%,0.1035,4.17%
"5-9|Female|Urban|5|Yes",22,0.00%,0.00%,0.00%,0.00%,0.0965,0.00%
"5-9|Male|Rural|4|No",22,0.00%,0.00%,0.00%,0.00%,0.1051,0.00%
"5-9|Female|Rural|3|No",21,0.00%,0.00%,0.00%,0.00%,0.0826,0.00%
"15-18|Male|Rural|3|No",19,0.00%,0.00%,0.00%,0.00%,0.1130,0.00%
"10-14|Female|Urban|1|Yes",18,100.00%,100.00%,0.00%,0.00%,0.1090,5.56%
"0-4|Female|Rural|1|No",17,0.00%,0.00%,0.00%,0.00%,0.1262,0.00%
"5-9|Female|Urban|4|Yes",17,0.00%,0.00%,0.00%,0.00%,0.0810,0.00%
"10-14|Female|Rural|1|Yes",16,0.00%,0.00%,0.00%,0.00%,0.0991,0.00%
"15-18|Female|Rural|3|No",15,0.00%,0.00%,0.00%,0.00%,0.0624,0.00%
"15-18|Female|Urban|1|Yes",15,0.00%,0.00%,0.00%,0.00%,0.1097,0.00%
"10-14|Female|Urban|2|Yes",15,0.00%,0.00%,0.00%,0.00%,0.0836,0.00%
"5-9|Female|Rural|1|Yes",14,0.00%,0.00%,0.00%,0.00%,0.1047,0.00%
"0-4|Female|Rural|2|No",14,100.00%,100.00%,0.00%,0.00%,0.1136,14.29%
"10-14|Male|Urban|4|Yes",14,100.00%,100.00%,0.00%,0.00%,0.1482,7.14%
"10-14|Male|Urban|5|Yes",14,0.00%,0.00%,0.00%,0.00%,0.1090,0.00%
"15-18|Male|Rural|4|No",14,100.00%,100.00%,0.00%,0.00%,0.1158,7.14%
"5-9|Female|Urban|3|Yes",14,100.00%,100.00%,0.00%,0.00%,0.1165,7.14%
"5-9|Female|Rural|4|No",14,0.00%,0.00%,0.00%,0.00%,0.0933,0.00%
"10-14|Female|Urban|3|Yes",13,0.00%,0.00%,0.00%,0.00%,0.1089,0.00%
"0-4|Male|Rural|2|No",13,0.00%,0.00%,0.00%,0.00%,0.1112,0.00%
"5-9|Male|Urban|5|Yes",13,0.00%,0.00%,0.00%,0.00%,0.1114,0.00%
"10-14|Male|Urban|1|Yes",12,100.00%,100.00%,0.00%,0.00%,0.1153,8.33%
"15-18|Male|Urban|5|Yes",12,100.00%,100.00%,0.00%,0.00%,0.1239,8.33%
"0-4|Female|Rural|4|No",12,100.00%,100.00%,0.00%,0.00%,0.1128,8.33%
"10-14|Unknown|Urban|1|No",12,100.00%,100.00%,0.00%,0.00%,0.1388,8.33%
"10-14|Intersex/Other|Urban|3|No",12,0.00%,0.00%,0.00%,0.00%,0.0799,0.00%
"5-9|Male|Urban|4|Yes",11,0.00%,0.00%,0.00%,0.00%,0.0887,0.00%
"5-9|Male|Urban|3|Yes",11,100.00%,100.00%,0.00%,0.00%,0.0941,9.09%
"0-4|Female|Urban|3|Yes",11,0.00%,0.00%,0.00%,0.00%,0.0953,0.00%
"15-18|Male|Urban|4|Yes",10,0.00%,0.00%,0.00%,0.00%,0.0990,0.00%
"15-18|Male|Urban|1|Yes",10,0.00%,0.00%,0.00%,0.00%,0.0658,0.00%
"10-14|Female|Urban|4|Yes",10,0.00%,0.00%,0.00%,0.00%,0.1174,0.00%
"0-4|Female|Urban|1|Yes",10,100.00%,100.00%,0.00%,0.00%,0.1417,10.00%
"15-18|Female|Urban|4|Yes",10,0.00%,0.00%,0.00%,0.00%,0.0631,0.00%
"15-18|Male|Urban|3|Yes",10,0.00%,0.00%,0.00%,0.00%,0.0914,0.00%
"5-9|Female|Urban|2|Yes",10,0.00%,0.00%,0.00%,0.00%,0.1208,0.00%
"5-9|Male|Urban|1|Yes",9,0.00%,0.00%,0.00%,0.00%,0.1117,0.00%
"0-4|Female|Urban|5|Yes",9,100.00%,100.00%,0.00%,0.00%,0.0995,11.11%
"10-14|Unknown|Urban|3|No",8,0.00%,0.00%,0.00%,0.00%,0.0878,0.00%
"5-9|Female|Rural|3|Yes",8,100.00%,100.00%,0.00%,0.00%,0.1029,12.50%
"5-9|Male|Rural|1|Yes",8,0.00%,0.00%,0.00%,0.00%,0.0722,0.00%
"0-4|Male|Rural|1|Yes",7,0.00%,0.00%,0.00%,0.00%,0.0481,0.00%
"15-18|Female|Urban|5|Yes",7,0.00%,0.00%,0.00%,0.00%,0.1052,0.00%
"0-4|Male|Rural|3|No",7,0.00%,0.00%,0.00%,0.00%,0.0745,0.00%
"10-14|Male|Rural|1|Yes",7,0.00%,0.00%,0.00%,0.00%,0.1177,0.00%
"5-9|Intersex/Other|Rural|1|No",7,0.00%,0.00%,0.00%,0.00%,0.0691,0.00%
"5-9|Intersex/Other|Urban|3|No",7,0.00%,0.00%,0.00%,0.00%,0.0820,0.00%
"0-4|Male|Rural|4|No",6,0.00%,0.00%,0.00%,0.00%,0.0905,0.00%
"5-9|Male|Rural|2|Yes",6,0.00%,0.00%,0.00%,0.00%,0.1705,0.00%
"15-18|Male|Urban|2|Yes",6,100.00%,100.00%,0.00%,0.00%,0.2133,33.33%
"0-4|Male|Urban|1|Yes",6,0.00%,0.00%,0.00%,0.00%,0.0812,0.00%
"5-9|Unknown|Urban|5|No",6,0.00%,0.00%,0.00%,0.00%,0.0840,0.00%
"15-18|Male|Rural|1|Yes",6,0.00%,0.00%,0.00%,0.00%,0.0743,0.00%
"10-14|Female|Urban|5|Yes",6,0.00%,0.00%,0.00%,0.00%,0.0629,0.00%
"5-9|Unknown|Urban|3|No",6,0.00%,0.00%,0.00%,0.00%,0.1518,0.00%
"15-18|Female|Urban|3|Yes",5,0.00%,0.00%,0.00%,0.00%,0.0772,0.00%
"0-4|Female|Rural|3|No",5,0.00%,0.00%,0.00%,0.00%,0.0698,0.00%
"15-18|Male|Rural|2|Yes",5,0.00%,0.00%,0.00%,0.00%,0.0868,0.00%
"15-18|Female|Rural|1|Yes",5,100.00%,100.00%,0.00%,0.00%,0.1587,20.00%
"10-14|Unknown|Rural|4|No",4,100.00%,100.00%,0.00%,0.00%,0.1002,25.00%
"5-9|Unknown|Urban|4|No",4,0.00%,0.00%,0.00%,0.00%,0.0555,0.00%
"15-18|Unknown|Rural|1|No",4,0.00%,0.00%,0.00%,0.00%,0.0264,0.00%
"5-9|Intersex/Other|Urban|1|No",4,100.00%,100.00%,0.00%,0.00%,0.1944,25.00%
"10-14|Intersex/Other|Urban|2|No",4,0.00%,0.00%,0.00%,0.00%,0.0965,0.00%
"0-4|Unknown|Urban|3|Yes",4,0.00%,0.00%,0.00%,0.00%,0.1306,0.00%
"10-14|Female|Rural|4|Yes",4,0.00%,0.00%,0.00%,0.00%,0.1392,0.00%
"15-18|Unknown|Urban|3|Yes",4,0.00%,0.00%,0.00%,0.00%,0.0501,0.00%
"15-18|Intersex/Other|Urban|2|No",4,0.00%,0.00%,0.00%,0.00%,0.1129,0.00%
"0-4|Unknown|Urban|3|No",4,0.00%,0.00%,0.00%,0.00%,0.1125,0.00%
"10-14|Unknown|Urban|4|No",4,0.00%,0.00%,0.00%,0.00%,0.0714,0.00%
"10-14|Intersex/Other|Urban|2|Yes",4,100.00%,100.00%,0.00%,0.00%,0.1247,25.00%
"0-4|Female|Urban|2|Yes",4,0.00%,0.00%,0.00%,0.00%,0.1543,0.00%
"10-14|Male|Rural|4|Yes",4,0.00%,0.00%,0.00%,0.00%,0.0817,0.00%
"10-14|Male|Rural|3|Yes",3,0.00%,0.00%,0.00%,0.00%,0.1028,0.00%
"0-4|Intersex/Other|Urban|2|Yes",3,0.00%,0.00%,0.00%,0.00%,0.0961,0.00%
"10-14|Unknown|Urban|3|Yes",3,0.00%,0.00%,0.00%,0.00%,0.1121,0.00%
"5-9|Intersex/Other|Urban|5|No",3,0.00%,0.00%,0.00%,0.00%,0.1159,0.00%
"15-18|Female|Rural|4|Yes",3,0.00%,0.00%,0.00%,0.00%,0.0637,0.00%
"5-9|Unknown|Urban|5|Yes",3,0.00%,0.00%,0.00%,0.00%,0.0777,0.00%
"5-9|Unknown|Rural|3|No",3,0.00%,0.00%,0.00%,0.00%,0.0846,0.00%
"0-4|Male|Urban|2|Yes",3,0.00%,0.00%,0.00%,0.00%,0.1429,0.00%
"10-14|Male|Rural|2|Yes",3,0.00%,0.00%,0.00%,0.00%,0.0699,0.00%
"0-4|Unknown|Urban|5|No",3,0.00%,0.00%,0.00%,0.00%,0.1000,0.00%
"15-18|Intersex/Other|Urban|2|Yes",3,0.00%,0.00%,0.00%,0.00%,0.0519,0.00%
"15-18|Intersex/Other|Urban|5|No",3,0.00%,0.00%,0.00%,0.00%,0.1719,0.00%
"0-4|Intersex/Other|Urban|2|No",3,0.00%,0.00%,0.00%,0.00%,0.0708,0.00%
"0-4|Unknown|Urban|1|No",2,0.00%,0.00%,0.00%,0.00%,0.1049,0.00%
"15-18|Unknown|Urban|4|Yes",2,0.00%,0.00%,0.00%,0.00%,0.0886,0.00%
"10-14|Intersex/Other|Urban|5|No",2,0.00%,0.00%,0.00%,0.00%,0.0958,0.00%
"10-14|Female|Rural|2|Yes",2,0.00%,0.00%,0.00%,0.00%,0.0100,0.00%
"15-18|Unknown|Urban|1|No",2,0.00%,0.00%,0.00%,0.00%,0.0442,0.00%
"5-9|Male|Rural|3|Yes",2,100.00%,100.00%,0.00%,0.00%,0.2060,50.00%
"10-14|Intersex/Other|Urban|1|No",2,0.00%,0.00%,0.00%,0.00%,0.0831,0.00%
"0-4|Female|Rural|1|Yes",2,0.00%,0.00%,0.00%,0.00%,0.0533,0.00%
"5-9|Intersex/Other|Rural|3|No",2,0.00%,0.00%,0.00%,0.00%,0.0425,0.00%
"15-18|Unknown|Urban|4|No",2,0.00%,0.00%,0.00%,0.00%,0.1474,0.00%
"10-14|Intersex/Other|Rural|2|No",1,0.00%,0.00%,0.00%,0.00%,0.1258,0.00%
"5-9|Intersex/Other|Urban|1|Yes",1,0.00%,0.00%,0.00%,0.00%,0.2524,0.00%
"15-18|Unknown|Urban|3|No",1,0.00%,0.00%,0.00%,0.00%,0.0400,0.00%
"5-9|Intersex/Other|Urban|3|Yes",1,0.00%,0.00%,0.00%,0.00%,0.0657,0.00%
"0-4|Male|Urban|5|Yes",1,0.00%,0.00%,0.00%,0.00%,0.1558,0.00%
"15-18|Female|Rural|2|Yes",1,0.00%,0.00%,0.00%,0.00%,0.1703,0.00%
"0-4|Intersex/Other|Urban|5|No",1,0.00%,0.00%,0.00%,0.00%,0.0623,0.00%
"15-18|Female|Rural|3|Yes",1,0.00%,0.00%,0.00%,0.00%,0.2175,0.00%

FEATURE DRIFT
Feature,PSI,KS Statistic,Status
"prior_hospitalizations_12mo",0.0093,0.0086,stable
"bp_systolic",0.0091,0.0288,stable
"time_in_range_14d",0.0091,0.0376,stable
"distance_to_clinic_km",0.0074,0.0336,stable
"a1c_last_value_patient",0.0067,0.0280,stable
"missed_appointments_12mo",0.0067,0.0320,stable
"wait_time_days_to_endocrinology",0.0064,0.0147,stable
"bp_diastolic",0.0059,0.0159,stable
"glucose_variability_14d",0.0057,0.0314,stable
"mean_glucose_14d",0.0055,0.0207,stable
"a1c_last_value",0.0052,0.0235,stable
"creatinine",0.0051,0.0204,stable
"prior_ed_visits_12mo",0.0037,0.0172,stable
"triglycerides",0.0028,0.0213,stable
"medication_adherence_proxy",0.0026,0.0138,stable
"bmi",0.0026,0.0100,stable
"egfr",0.0021,0.0136,stable
"heart_rate",0.0017,0.0111,stable
"ldl_cholesterol",0.0017,0.0126,stable
"prior_dka_events_24mo",0.0002,0.0034,stable

PREDICTION DRIFT
KS Statistic,0.0221
PSI,0.0021
Status,stable

TARGET DRIFT
Reference Rate,3.25%
Current Rate,2.90%
Absolute Shift,0.35%
Status,stable

DATA QUALITY
Total Rows,7503
Overall Missingness,1.16%
Duplicate Rows,0
